country_code,country_name,start_year,end_year,label_end_year,classification,source_table_row,source_country_text,source_start_text,source_end_text,source_table,source_url,source_pdf_sha256
LKA,Sri Lanka,2023,,2023,borderline,138,Sri Lanka,2023,…,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
SWE,Sweden,1991,1995.0,1995,systemic,139,Sweden,1991,1995,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
SWE,Sweden,2008,2009.0,2009,systemic,140,Sweden,2008,2009,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
CHE,Switzerland,2008,2009.0,2009,systemic,141,Switzerland,2008,2009,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
TJK,Tajikistan,2016,2018.0,2018,systemic,142,Tajikistan,2016,2018,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
TZA,Tanzania,1987,1988.0,1988,systemic,143,Tanzania,1987,1988,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
THA,Thailand,1983,1983.0,1983,systemic,144,Thailand,1983,1983,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
THA,Thailand,1997,2000.0,2000,systemic,145,Thailand,1997,2000,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
TGO,Togo,1993,1994.0,1994,systemic,146,Togo,1993,1994,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
TUN,Tunisia,1991,1991.0,1991,systemic,147,Tunisia,1991,1991,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
TUR,Türkiye,1982,1984.0,1984,systemic,148,Türkiye,1982,1984,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
TUR,Türkiye,2000,2001.0,2001,systemic,149,Türkiye,2000,2001,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
UGA,Uganda,1994,1994.0,1994,systemic,150,Uganda,1994,1994,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
UKR,Ukraine,2008,2010.0,2010,systemic,151,Ukraine,2008,2010,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
UKR,Ukraine,2014,2018.0,2018,systemic,152,Ukraine,2014,2018 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
UKR,Ukraine,1998,1999.0,1999,systemic,153,Ukraine,1998,1999,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
GBR,United Kingdom,2007,2011.0,2011,systemic,154,United Kingdom,2007,2011 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
USA,United States,2007,2011.0,2011,systemic,155,United States,2007,2011,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
USA,United States,1988,1988.0,1988,systemic,156,United States,1988,1988,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
URY,Uruguay,1981,1985.0,1985,systemic,157,Uruguay,1981,1985 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
URY,Uruguay,2002,2005.0,2005,systemic,158,Uruguay,2002,2005,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
VEN,Venezuela,1994,1998.0,1998,systemic,159,Venezuela,1994,1998 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
VNM,Vietnam,1997,1997.0,1997,systemic,160,Vietnam,1997,1997,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
VNM,Vietnam,2022,,2022,borderline,161,Vietnam,2022,…,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
YEM,Yemen,1996,1996.0,1996,systemic,162,Yemen,1996,1996,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
ZMB,Zambia,1995,1998.0,1998,systemic,163,Zambia,1995,1998,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
ZWE,Zimbabwe,1995,1999.0,1999,systemic,164,Zimbabwe,1995,1999 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
